SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
94.140.14.14,192.168.220.51,443,60551,2025-05-01 22:54:45,124.515356,44948,360.98358824111614,34161,274.3517032549784,18063.326644429515,134.3998759092787,160.13967611336034,92.0,54,1.5209763175530455,0.7897304621397545,0.839266565108694,1096.6683580062536,33.11598342200113,61.08224279554656,59.4603165,25.740345,0.1469314326147119,1.0672157110716092,0.5421540190141083,0.8451881437448664,0.919341146552718,0.1524943025210084,9.8e-05,6.8e-05,0.4973006041091063,0.1657995001013127,6.02869176981917,False
94.140.14.14,192.168.220.51,443,60551,2025-05-01 22:56:50,120.344761,40450,336.1176644822952,30153,250.5551529575932,18749.028549237923,136.92709209370483,161.19406392694063,92.0,54,1.5160052594906848,0.7828550383117998,0.8494549287855009,1131.0997939929737,33.63182709864235,58.90117719863014,59.558137,59.337883,-0.0586016156163323,-0.0129848967196756,0.5709873503075676,0.9078953352775968,0.9528354187778688,0.1386082828282828,0.000114,7.5e-05,0.4360489128518726,0.1453905680856922,6.874303608236059,False
192.168.220.51,94.140.14.14,60551,443,2025-05-01 22:58:50,120.456593,45581,378.40186962618145,54603,453.3002191088038,17946.8098993517,133.96570419085515,162.11003236245955,90.0,54,1.6148170040533845,0.8069978284027072,0.8263874989015061,1274.128846473797,35.69494146897844,60.18785033171521,59.0220325,3.522397,0.097981768598365,1.587492540951824,0.5930589192378825,0.0059278739834349,0.0769926878569319,0.1072970204081632,0.09363,7.3e-05,0.5325318853743369,1.392651995828581,0.7175659451124355,False
192.168.220.51,94.140.14.14,60551,443,2025-05-01 23:00:51,120.044618,52658,438.65356795920655,64562,537.8166974549413,19595.241444989668,139.98300412903586,166.5056818181818,98.5,54,1.457441542449562,0.8037095825895725,0.840710074277779,1295.359295959879,35.991100232694734,58.290829028409085,59.192687,48.639657,-0.0751734150187204,0.268154403894601,0.6174401845469348,0.0092433214031073,0.0961421936670227,0.1171105398773006,0.100459,0.000148,0.5195910112568664,1.2165578443361371,0.8209525271401967,False
94.140.14.14,192.168.220.51,443,60551,2025-05-01 23:02:51,120.403641,54670,454.056036395112,40817,339.001376212535,16434.87190911116,128.19856438007082,158.35323383084577,90.0,54,1.5995475650148152,0.8139968987598746,0.8095733903168254,1453.9346745030703,38.130495335139166,61.11140662023217,73.255115,11.264278,-0.9554327794354762,1.307277237867286,0.6239505428519345,0.3239724404159095,0.569185769688517,0.0976214964539007,9.3e-05,7.6e-05,0.5140421720694414,0.1713772579157799,5.830537231697741,False
192.168.220.51,94.140.14.14,60551,443,2025-05-01 23:04:52,120.284205,46596,387.382532893658,58554,486.7970819610106,19921.45904779348,141.14339888139818,167.70334928229664,90.0,54,1.6515830686688413,0.8055874393236114,0.8416254027449992,1238.3462491883035,35.19014420527861,62.3523302137161,67.781981,7.249393,-0.4628839331783212,1.5658627851104554,0.5643757672674367,0.0122121536350815,0.1105086133976966,0.1198016824324324,0.095335,0.000555,0.6642020476100478,1.079071384266576,0.922429561538278,False
192.168.220.51,94.140.14.14,60551,443,2025-05-01 23:06:52,10.386111,6748,649.7138341772007,7830,753.8914228819623,20456.000594884,143.02447550990703,177.78048780487805,101.5,54,1.6000160993338706,0.8654496886884512,0.8045004110174494,9.844274703913213,3.137558717205658,5.140876207317072,5.211311,9.026116,-0.0673467485692093,-1.238300265546317,0.6103159443403697,0.0030504627291093,0.0552309942795653,0.078958875,0.0876235,0.000903,-0.4706392730941179,1.413262173135992,0.6994906434465448,False
192.168.220.51,94.140.14.14,60854,443,2025-05-01 23:07:04,96.228198,53706,558.1108356617049,63198,656.751360968019,21609.38649766108,147.0013146120166,165.82127659574468,90.0,54,1.5473591538115403,0.7606821536996233,0.8865045404902459,917.8949264972973,30.296780794290623,41.31422485531915,36.669543,32.646021,0.4599183543811787,0.2861097327196115,0.7333256499520154,0.0074957920439143,0.0865782423240061,0.116064510067114,0.097474,4.6e-05,0.6441748954965574,1.3400423357283249,0.745949319683876,False
192.168.220.51,94.140.14.14,60855,443,2025-05-01 23:07:04,12.027289,2441,202.95512978859992,2295,190.81606835921207,115990.7455621302,340.5741410649525,182.15384615384616,54.0,54,1.1288629760890037,0.3762876586963345,1.869706010914013,5.690857185334697,2.385551757001868,7.244429615384615,7.728232,7.681533,-0.6084157049144322,-0.1832294702189696,0.329294628239026,0.0136068471582222,0.1166483911514523,0.1304113333333333,0.102896,0.00146,0.7076479939858327,1.1054703117671574,0.8944651371157849,False
94.140.14.14,192.168.220.51,443,60854,2025-05-01 23:08:40,120.132751,84458,703.0389239983358,67614,562.8273675344369,16271.950057248676,127.56155399354728,153.14400805639477,90.0,54,1.4850244312543162,0.7772248373629094,0.8329516486637412,1148.1147810144555,33.88384247712257,60.88441836253776,59.69756,23.104568,0.1050817979105319,1.1149812890331334,0.5565273248626667,0.010724174094172,0.1035575882983573,0.0266084978354978,9.7e-05,7.7e-05,0.7680218785836201,0.2562004221173881,3.891899081961828,False
192.168.220.51,94.140.14.14,60854,443,2025-05-01 23:10:40,122.491158,58432,477.0303502233198,72212,589.5282661953445,17313.82487683238,131.58200818057298,158.7411907654921,90.0,54,1.5672626915183645,0.7960145327904813,0.828909040848501,1311.3010475246822,36.211890968640155,55.73338613122721,51.12832,9.210971,0.3815099964165292,1.2847275822054165,0.6497342702877827,0.009661201568634,0.0982914114693346,0.1416799430051813,0.127246,0.000186,0.4405453983032231,1.4395351627372364,0.6937567123791127,False
192.168.220.51,94.140.14.14,60854,443,2025-05-01 23:12:43,121.177018,54865,452.7673721101141,67203,554.5853587517726,18003.235539376805,134.17613625148402,165.17997293640053,94.0,54,1.5914895507869402,0.8286121216668352,0.8123026894013722,1327.438374015643,36.43402769411643,59.15089780108254,54.576896,51.866941,0.3766260902706493,0.1999218110672622,0.6159505442612172,0.0092884736966311,0.0963767279825953,0.1252217818181818,0.102297,2.6e-05,0.7135990907158144,1.2990250285399898,0.769648271915915,False
192.168.220.51,94.140.14.14,60854,443,2025-05-01 23:14:44,120.57912,46512,385.7384263544136,56377,467.5519277301078,17986.465138038053,134.11362771186995,163.8359872611465,90.0,54,1.6516439497060489,0.8189770803688825,0.8185846708885725,1150.791920391346,33.92332413534007,56.01694110509553,54.083341,5.634641,0.1709974026172619,1.4851816969378044,0.6055904422145295,0.0091127011948179,0.0954604692782197,0.1322629225352112,0.105804,0.00053,0.8315145337730323,1.3799735485405515,0.7217477691286167,False
192.168.220.51,94.140.14.14,60854,443,2025-05-01 23:16:45,120.115909,49241,409.9456967020081,63122,525.5090730737425,17189.574487092665,131.10901756588927,161.20946915351507,90.0,54,1.629395227167998,0.8177123980021939,0.8132836008599345,1223.6055586135424,34.98007373653667,59.879689,64.503292,4.771533,-0.396534584360008,1.575415661358071,0.5841726021078143,0.0101141983704026,0.1005693709357011,0.1396554171779141,0.115982,0.000132,0.706181721859919,1.3873350890015823,0.7201250976722279,False
94.140.14.14,192.168.220.51,443,60854,2025-05-01 23:18:45,120.371105,58848,488.8880932014373,46323,384.83488209234264,17319.47292071006,131.60346849802272,161.80153846153846,91.5,54,1.6025764198440111,0.8191390370775685,0.8133635177350674,1291.0798291773583,35.93159931282434,60.33632554307692,63.1082525,2.364413,-0.2314336414132628,1.6133963879082382,0.5955218351367964,0.0615276840167032,0.2480477454376541,0.0451422837837837,6.7e-05,6.7e-05,0.5451605742787929,0.1817201914262643,5.494798327566204,False
94.140.14.14,192.168.220.51,443,60854,2025-05-01 23:20:45,120.291082,63971,531.8016841847012,50623,420.83751478767147,15992.90358812666,126.46305226478864,153.81744966442952,90.0,54,1.5138994794497382,0.7893012850538473,0.8221632366203077,1195.3956782674927,34.57449462056521,56.88139386174497,54.25262,2.452801,0.2280965107887374,1.5742411699452683,0.6078348695990369,0.0196044386124058,0.1400158512897945,0.0284811420118343,6.8e-05,6.4e-05,0.608784114443447,0.2029566063417962,4.916089784307665,False
94.140.14.14,192.168.220.51,443,60854,2025-05-01 23:22:46,120.86798,60334,499.1727337546305,47741,394.9846766695365,17758.823863636364,133.26223720032755,163.75,90.0,54,1.6602602856456936,0.8235641416931746,0.8138151890096339,1239.641427521882,35.208541968134405,60.13937288939393,62.0342035,16.252847,-0.1614520657220894,1.2464738224352934,0.5854491039154769,0.051626640356472,0.2272149650803661,0.0507174121621621,6.85e-05,6.6e-05,0.6687356021322926,0.2229228701738317,4.480018900685954,False
192.168.220.51,94.140.14.14,60854,443,2025-05-01 23:24:47,120.94371,46033,380.6150811811544,58638,484.8371196815444,16748.280296020046,129.41514708881664,159.8030534351145,94.0,54,1.5253945519210597,0.8175476813583703,0.8098415162095987,1171.0315113566785,34.22033768618712,60.278290531297706,57.928454,52.835637,0.2060035075790216,0.2174921124259361,0.5677058420961562,0.0076526979119986,0.0874796999994779,0.1335989084507042,0.1186175,0.007551,0.5137674837977368,1.4408818097393616,0.654793523494666,False
192.168.220.51,94.140.14.14,60854,443,2025-05-01 23:26:48,120.116233,49660,413.43287880165207,61800,514.5016494148631,17999.82562414266,134.1634287879624,165.1259259259259,90.0,54,1.6798749093836471,0.8282877601582027,0.8124916062432678,1125.8582941139518,33.55381191629279,65.70914609185185,68.066594,8.380442,-0.210776162842181,1.7085600954928952,0.5106414237888501,0.008206524907257,0.0905898719905104,0.130641489208633,0.10954,3.8e-05,0.6988029261431186,1.4417007811018223,0.6934234487011964,False
94.140.14.14,192.168.220.51,443,60854,2025-05-01 23:28:48,120.417171,64067,532.042062340096,51030,423.77677183597007,18570.291778106483,136.2728578188132,168.76392961876832,103.0,54,1.4477702457713315,0.8421627861606681,0.8074762073071463,1325.214444249459,36.40349494553317,60.89171387829912,60.1383735,7.3479,0.0620825318634597,1.4708426748149117,0.5978398804522206,0.0237190097043562,0.1540097714573858,0.02760400625,6.55e-05,3.9e-05,0.5364303704123055,0.1789821904750191,5.579254332236133,False
192.168.220.51,94.140.14.14,60854,443,2025-05-01 23:30:49,120.07248,42993,358.05873252555455,53642,446.7468315803921,16739.807151900106,129.3824066552331,158.9391447368421,90.0,54,1.5984973502744877,0.8110773902704929,0.8140373906595098,1149.5649464377532,33.9052347940219,59.15078821381579,58.300608,0.106548,0.0752255708282862,1.741449088098524,0.5732000505464556,0.0071606516742478,0.0846206338563347,0.1205615461538461,0.104392,0.000767,0.5732483467790411,1.4156659043375652,0.7018874305771766,False
94.140.14.14,192.168.220.51,443,60854,2025-05-01 23:32:49,120.099238,66575,554.3332423141602,53472,445.2318007213335,17916.341384968702,133.85193829365602,162.00674763832657,90.0,54,1.6138745965789134,0.8069120926838727,0.8262121192166328,1133.0748480074249,33.661177163127036,56.62493609851552,54.874008,4.2696,0.1560487403661134,1.5553626019908284,0.5944585456937848,0.021462140851352,0.1464996274785435,0.0297359285714285,6.95e-05,4.3e-05,0.60750520152224,0.2026826216727234,4.926687496125682,False
192.168.220.51,94.140.14.14,60854,443,2025-05-01 23:34:49,120.119798,49687,413.6453842521447,61695,513.6122523282964,17540.431792274696,132.4402951985335,164.2802359882006,113.0,54,1.1615853599086905,0.8326788748310017,0.806185201779513,1107.2242571627191,33.27497944646577,57.227389446902656,58.515344,116.515324,-0.1161191899609851,-1.781757210353273,0.5814519894768103,0.0087979535863171,0.0937974071406942,0.1285594088050314,0.107651,0.015302,0.6687309204721167,1.2074684392410509,0.7296035973760892,False
192.168.220.51,94.140.14.14,60854,443,2025-05-01 23:36:49,122.159717,44873,367.3305824701608,54472,445.9080402093597,17991.324375,134.13174260778095,165.575,90.0,54,1.6903157715841657,0.8318314355033777,0.810096588300051,1167.3799912234065,34.1669429598758,56.12282977666666,56.8088585,5.713209,-0.0602361812825024,1.4753916039800687,0.6087886711314914,0.0068925288587692,0.083021255463702,0.1179366904761904,0.1008725,0.001004,0.6166200588348544,1.4084669019166416,0.7039476445242686,False
94.140.14.14,192.168.220.51,443,60854,2025-05-01 23:38:52,120.075801,54238,451.69800699476485,44688,372.1649127287521,17103.893400049823,130.7818542461064,161.90834697217676,102.0,54,1.374235301621601,0.8251018277284394,0.8077523901135294,1333.64541900654,36.519110326054495,55.741020103109655,47.3248,0.421039,0.691382130722811,1.5148228039838558,0.6551568352804003,0.2474026279391037,0.4973958463227289,0.0934257183098591,6.9e-05,6.5e-05,0.563072966933981,0.1876990308626004,5.323971335955349,False
94.140.14.14,192.168.220.51,443,60854,2025-05-01 23:40:52,120.637021,57952,480.3832150331365,45598,377.9768401277084,17406.774567520195,131.93473601565356,159.7993827160494,90.0,54,1.5871343246808325,0.8019069572663313,0.8256273195378416,1168.227393352808,34.179341616725274,53.293115083333326,45.9677185,5.185138,0.6429670295125346,1.4075162015347964,0.641346289540023,0.0151182198287863,0.122956170356702,0.0295083333333333,7.1e-05,6.7e-05,0.718239676331838,0.239445757361526,4.166828704547936,False
192.168.220.51,94.140.14.14,60854,443,2025-05-01 23:42:53,120.063417,53244,443.4656394961673,64542,537.565909855789,17981.10251159287,134.0936333745673,164.96638655462183,93.0,54,1.6100627168538917,0.8275291209736743,0.8128542800455153,1257.560510940163,35.462099640886514,56.714434205882355,53.830509,8.510539,0.2439724580682153,1.3593074209939056,0.6252746789671477,0.0075048415987964,0.086630488852346,0.1229620469798657,0.099942,0.000506,0.7971805521876274,1.413544453022552,0.7045303081733114,False
94.140.14.14,192.168.220.51,443,60854,2025-05-01 23:44:53,120.075836,56139,467.5295369169864,44528,370.832313005924,17187.40668416,131.10075012813618,161.0672,90.0,54,1.626242411211374,0.8166787748762224,0.8139506375484032,1250.8786927976703,35.367763468979355,60.7071600688,63.72463,10.544531,-0.2559508689753527,1.4183149893771785,0.5825962444775332,0.1282375613406505,0.3581027245646848,0.059716306569343,6.8e-05,4.5e-05,0.4997027596636059,0.1666318139351785,5.996732636986733,False
192.168.220.51,94.140.14.14,60854,443,2025-05-01 23:46:53,120.085525,56821,473.1711003470235,70081,583.5924021650402,18565.303082795952,136.25455252135964,168.9773635153129,90.0,54,1.7388930216390133,0.8438423626050127,0.8063479609741462,1209.895915476188,34.783558119838574,60.24749599067909,58.944553,3.393345,0.1123757655433159,1.63451222542563,0.5773444613402678,0.0079434133788974,0.0891258289100159,0.1229920440251572,0.104086,0.000562,0.6363826599889016,1.3736763575996156,0.7246471071883789,False
94.140.14.14,192.168.220.51,443,60854,2025-05-01 23:48:53,120.059697,61101,508.9218241155481,49305,410.6707015927252,17174.243840066058,131.05053925896704,160.2409288824383,90.0,54,1.6079505497562947,0.810686697538094,0.8178343708623471,1244.3173211805197,35.27488229860618,57.388157428156745,60.03334,4.614883,-0.2249631238555064,1.4960581294481594,0.614671804766797,0.6768368850319149,0.8227009693879757,0.1180440671140939,6.6e-05,5.6e-05,0.4302100210305827,0.1434154954282692,6.969439375490212,False
94.140.14.14,192.168.220.51,443,60854,2025-05-01 23:50:54,121.35479,66398,547.1395072250547,54510,449.1788086815527,17503.3774544855,132.30033051540536,161.85809906291834,90.0,54,1.629431282211748,0.8152519244867578,0.8173846800460499,1167.5757894987933,34.16980815718451,60.58433623694779,59.982057,77.829414,0.052878193009798,-0.5046875792724131,0.5640040030073946,0.0512014341155713,0.2262773389351469,0.0474596976744186,7.4e-05,4.4e-05,0.6282427294409682,0.209546823811678,4.767778768576384,False
